StudentID,LMS_Logins_Per_Week,Login_Drop_Ratio,Attendance_Percentage,Attendance_Trend,Avg_Assignment_Delay_Days,Late_Submission_Ratio,Night_Activity_Ratio,Avg_Session_Duration_Min,Feedback_Text,Sentiment_Score,Burnout_Risk_Score,Burnout_Risk_Level,Dropout_Probability,Academic_Disengagement,Risk_Label,Recommended_Intervention
S0001,5,0.59,95.35,-38.97,0.26,0.14,0.26,56.33,Everything is okay.,-0.14,34,Low,18,No,0,['Early Academic Warning Notification']
S0002,5,0.06,82.22,-9.62,0.2,0.58,0.38,29.33,Course workload is balanced.,0.95,1,Low,0,No,0,['Regular Monitoring — No Immediate Intervention']
S0003,5,0.38,83.43,-35.58,1.03,0.0,0.44,17.39,Routine semester.,0.12,21,Low,22,No,0,['Early Academic Warning Notification']
S0004,4,0.35,97.75,-3.55,0.52,0.21,0.23,17.87,Everything is okay.,0.09,0,Low,0,No,0,['Regular Monitoring — No Immediate Intervention']
S0005,8,0.0,96.44,-38.73,2.26,0.61,0.4,24.21,Course workload is balanced.,0.45,43,Medium,50,No,1,"['Early Academic Warning Notification', 'Academic Mentor Follow-up']"
S0006,7,0.22,99.37,0.37,1.07,0.5,0.26,5.0,Routine semester.,-0.11,3,Low,6,No,0,['Regular Monitoring — No Immediate Intervention']
S0007,4,0.0,100.0,8.59,3.76,0.29,0.12,36.15,Feeling stressed and tired.,-0.91,23,Low,26,No,0,['Mental Wellness Counseling Recommended']
S0008,7,0.55,100.0,-13.21,0.97,0.13,0.33,8.99,Assignments are manageable.,0.06,10,Low,10,No,0,['Regular Monitoring — No Immediate Intervention']
S0009,4,0.0,73.56,6.23,0.93,0.47,0.37,33.51,Too much academic pressure.,-0.46,26,Low,23,No,0,['Mental Wellness Counseling Recommended']
S0010,9,0.27,65.71,-39.75,2.52,0.0,0.3,24.98,Course workload is balanced.,0.85,23,Low,11,No,0,['Early Academic Warning Notification']
S0011,6,0.42,75.21,-8.44,2.04,0.74,0.09,18.58,Hard to keep up with deadlines.,-0.44,36,Medium,40,No,1,"['Academic Mentor Follow-up', 'Mental Wellness Counseling Recommended']"
S0012,3,0.17,94.81,8.33,0.54,0.0,0.15,43.46,I am managing studies well.,0.74,5,Low,8,No,0,['Regular Monitoring — No Immediate Intervention']
S0013,4,0.29,91.22,-5.15,0.88,0.71,0.47,40.48,Hard to keep up with deadlines.,-0.7,35,Medium,43,No,1,"['Academic Mentor Follow-up', 'Mental Wellness Counseling Recommended']"
S0014,7,0.08,81.64,-16.72,3.37,0.41,0.2,22.14,I feel overwhelmed.,-0.69,26,Low,22,No,0,['Mental Wellness Counseling Recommended']
S0015,4,0.8,100.0,-8.13,4.08,0.36,0.12,50.1,I enjoy learning new topics.,0.65,20,Low,28,No,0,['Regular Monitoring — No Immediate Intervention']
S0016,3,0.44,100.0,-26.0,8.37,0.61,0.09,48.88,Assignments are manageable.,-0.01,59,Medium,66,No,1,"['Early Academic Warning Notification', 'Provide Assignment Deadline Extension Support', 'Academic Mentor Follow-up']"
S0017,3,0.0,54.0,-9.21,0.68,0.34,0.66,20.37,I am managing studies well.,0.44,35,Medium,39,Yes,1,"['Schedule Faculty Counseling Session', 'Sleep Hygiene Awareness Program']"
S0018,4,0.6,55.24,-17.09,4.06,0.32,0.34,30.27,Assignments are manageable.,-0.07,36,Medium,38,No,1,['Schedule Faculty Counseling Session']
S0019,3,0.29,66.14,-8.55,3.09,0.47,0.13,5.0,I feel overwhelmed.,-0.53,26,Low,13,No,0,['Mental Wellness Counseling Recommended']
S0020,7,0.53,80.42,-24.0,1.28,0.56,0.28,78.25,I enjoy learning new topics.,0.67,32,Low,42,No,0,['Early Academic Warning Notification']
S0021,6,0.03,79.82,-12.52,4.93,0.26,0.17,23.56,Course workload is balanced.,0.45,10,Low,12,No,0,['Regular Monitoring — No Immediate Intervention']
S0022,4,0.0,51.85,0.64,0.01,0.71,0.53,39.91,I am managing studies well.,0.43,49,Medium,61,Yes,1,"['Schedule Faculty Counseling Session', 'Academic Mentor Follow-up']"
S0023,7,0.39,81.39,9.65,4.95,0.33,0.07,48.12,Routine semester.,-0.02,3,Low,15,No,0,['Regular Monitoring — No Immediate Intervention']
S0024,5,0.65,50.94,-30.59,4.35,0.0,0.4,47.25,Faculty support is helpful.,0.81,59,Medium,66,Yes,1,"['Schedule Faculty Counseling Session', 'Early Academic Warning Notification']"
S0025,4,0.57,100.0,9.36,0.59,0.39,0.12,64.76,Too much academic pressure.,-0.84,40,Medium,40,No,1,['Mental Wellness Counseling Recommended']
S0026,7,0.21,94.23,-9.09,1.37,0.05,0.13,42.31,I am managing studies well.,0.91,3,Low,23,No,0,['Regular Monitoring — No Immediate Intervention']
S0027,3,0.64,92.91,-4.8,6.11,0.17,0.15,5.0,Hard to keep up with deadlines.,-0.74,51,Medium,48,No,1,"['Provide Assignment Deadline Extension Support', 'Mental Wellness Counseling Recommended']"
S0028,8,0.38,74.37,9.0,2.99,0.0,0.26,38.49,Course workload is balanced.,0.48,9,Low,0,No,0,['Regular Monitoring — No Immediate Intervention']
S0029,5,0.32,63.69,-35.56,0.32,0.27,0.12,5.0,Hard to keep up with deadlines.,-0.98,43,Medium,48,No,1,"['Early Academic Warning Notification', 'Mental Wellness Counseling Recommended']"
S0030,3,0.5,97.03,-2.59,0.14,0.14,0.08,33.79,Assignments are manageable.,-0.01,20,Low,28,No,0,['Regular Monitoring — No Immediate Intervention']
S0031,5,0.0,63.79,-21.14,0.71,0.11,0.11,58.21,Assignments are manageable.,0.12,22,Low,13,No,0,['Early Academic Warning Notification']
S0032,5,0.2,100.0,-11.46,1.93,0.0,0.4,27.48,I enjoy learning new topics.,0.51,9,Low,0,No,0,['Regular Monitoring — No Immediate Intervention']
S0033,5,0.06,87.81,3.28,1.75,0.13,0.33,44.15,Routine semester.,0.03,6,Low,15,No,0,['Regular Monitoring — No Immediate Intervention']
S0034,4,0.01,85.19,-25.57,0.71,0.0,0.37,40.95,Course workload is balanced.,0.48,28,Low,38,No,0,['Early Academic Warning Notification']
S0035,6,0.06,83.39,-30.94,2.27,0.33,0.25,42.27,Everything is okay.,-0.12,21,Low,17,No,0,['Early Academic Warning Notification']
S0036,8,0.12,42.58,-2.62,0.95,0.0,0.2,5.0,Course workload is balanced.,0.77,35,Medium,20,Yes,1,['Schedule Faculty Counseling Session']
S0037,6,0.49,58.17,-2.8,0.45,0.32,0.22,56.58,Everything is okay.,-0.16,31,Low,43,No,0,['Schedule Faculty Counseling Session']
S0038,6,0.09,64.52,-30.92,1.73,0.35,0.32,38.89,Faculty support is helpful.,0.75,28,Low,52,No,0,['Early Academic Warning Notification']
S0039,4,0.23,84.34,-32.37,3.33,0.86,0.45,42.0,I am managing studies well.,0.67,45,Medium,70,No,1,"['Early Academic Warning Notification', 'Academic Mentor Follow-up']"
S0040,3,0.33,97.04,5.99,4.96,0.0,0.19,34.79,Hard to keep up with deadlines.,-0.92,30,Low,29,No,0,['Mental Wellness Counseling Recommended']
S0041,5,0.0,59.66,8.05,3.55,0.22,0.12,43.17,I enjoy learning new topics.,0.44,31,Low,23,No,0,['Schedule Faculty Counseling Session']
S0042,3,0.37,100.0,-36.71,1.32,0.22,0.75,15.19,I am managing studies well.,0.49,34,Low,36,No,0,"['Early Academic Warning Notification', 'Sleep Hygiene Awareness Program']"
S0043,5,0.14,89.71,-7.05,0.32,0.52,0.11,37.39,Too much academic pressure.,-0.61,28,Low,24,No,0,['Mental Wellness Counseling Recommended']
S0044,7,0.14,46.6,4.63,7.29,0.14,0.3,5.0,Hard to keep up with deadlines.,-0.63,70,High,82,Yes,2,"['Schedule Faculty Counseling Session', 'Provide Assignment Deadline Extension Support', 'Mental Wellness Counseling Recommended']"
S0045,6,0.0,82.28,-18.74,2.45,0.95,0.35,36.32,Everything is okay.,0.01,17,Low,11,No,0,['Academic Mentor Follow-up']
S0046,2,0.01,47.41,-12.29,3.66,0.61,0.21,71.41,Course workload is balanced.,0.51,48,Medium,46,Yes,1,"['Schedule Faculty Counseling Session', 'Academic Mentor Follow-up']"
S0047,3,0.4,73.04,-9.84,2.6,0.12,0.05,22.32,I feel overwhelmed.,-0.66,29,Low,49,No,0,['Mental Wellness Counseling Recommended']
S0048,3,0.12,92.15,-37.43,2.56,1.0,0.28,44.85,I am managing studies well.,0.84,36,Medium,55,No,1,"['Early Academic Warning Notification', 'Academic Mentor Follow-up']"
S0049,7,0.19,53.61,-12.9,1.32,0.41,0.24,61.24,Hard to keep up with deadlines.,-0.85,48,Medium,32,Yes,1,"['Schedule Faculty Counseling Session', 'Mental Wellness Counseling Recommended']"
S0050,5,0.19,96.37,-38.3,2.4,0.0,0.31,38.39,I am managing studies well.,0.59,21,Low,6,No,0,['Early Academic Warning Notification']
S0051,2,0.33,100.0,-36.73,0.68,0.42,0.03,10.29,I feel overwhelmed.,-0.63,48,Medium,48,No,1,"['Early Academic Warning Notification', 'Mental Wellness Counseling Recommended']"
S0052,11,0.47,100.0,-28.06,0.43,0.21,0.23,24.64,Too much academic pressure.,-0.99,50,Medium,49,No,1,"['Early Academic Warning Notification', 'Mental Wellness Counseling Recommended']"
S0053,5,0.26,99.69,7.24,1.36,0.99,0.16,49.85,Routine semester.,0.01,17,Low,10,No,0,['Academic Mentor Follow-up']
S0054,4,0.07,72.53,-2.09,1.52,0.05,0.42,25.93,Faculty support is helpful.,0.76,3,Low,0,No,0,['Regular Monitoring — No Immediate Intervention']
S0055,8,0.24,76.46,-21.37,0.39,0.57,0.16,44.48,Too much academic pressure.,-0.7,44,Medium,69,No,1,"['Early Academic Warning Notification', 'Mental Wellness Counseling Recommended']"
S0056,11,0.07,100.0,-9.07,5.51,0.11,0.35,42.93,I enjoy learning new topics.,0.85,22,Low,25,No,0,['Provide Assignment Deadline Extension Support']
S0057,2,0.1,96.36,9.06,2.47,0.0,0.25,44.27,Feeling stressed and tired.,-0.54,21,Low,26,No,0,['Mental Wellness Counseling Recommended']
S0058,6,0.21,100.0,-36.63,1.08,0.0,0.48,47.54,I am managing studies well.,0.41,25,Low,40,No,0,['Early Academic Warning Notification']
S0059,6,0.18,92.97,-28.96,4.96,0.37,0.2,17.06,Course workload is balanced.,0.65,29,Low,16,No,0,['Early Academic Warning Notification']
S0060,5,0.62,81.48,-21.57,1.31,0.28,0.4,35.4,I am managing studies well.,0.86,40,Medium,44,No,1,['Early Academic Warning Notification']
S0061,2,0.35,83.93,-0.17,4.13,0.0,0.32,76.02,I am managing studies well.,0.69,0,Low,1,No,0,['Regular Monitoring — No Immediate Intervention']
S0062,4,0.03,76.54,-16.0,0.06,0.0,0.34,49.58,I feel overwhelmed.,-0.71,28,Low,25,No,0,['Mental Wellness Counseling Recommended']
S0063,6,0.1,84.17,-35.61,4.13,0.22,0.36,34.38,Faculty support is helpful.,0.81,23,Low,17,No,0,['Early Academic Warning Notification']
S0064,4,0.34,100.0,3.55,3.07,0.57,0.35,59.0,Routine semester.,-0.02,9,Low,13,No,0,['Regular Monitoring — No Immediate Intervention']
S0065,2,0.75,66.97,3.59,0.55,0.0,0.19,82.85,Everything is okay.,0.09,17,Low,17,No,0,['Regular Monitoring — No Immediate Intervention']
S0066,3,0.23,74.85,3.41,3.01,0.58,0.55,10.71,Too much academic pressure.,-0.98,21,Low,23,No,0,['Mental Wellness Counseling Recommended']
S0067,9,0.46,100.0,-3.34,6.14,0.42,0.21,26.57,Faculty support is helpful.,0.51,20,Low,19,No,0,['Provide Assignment Deadline Extension Support']
S0068,6,0.49,87.49,-27.09,1.74,0.0,0.64,34.55,Assignments are manageable.,-0.13,30,Low,9,No,0,"['Early Academic Warning Notification', 'Sleep Hygiene Awareness Program']"
S0069,5,0.26,96.94,-16.27,5.67,0.41,0.36,47.59,Routine semester.,-0.09,16,Low,16,No,0,['Provide Assignment Deadline Extension Support']
S0070,2,0.03,94.65,-24.19,1.76,0.12,0.19,46.93,I enjoy learning new topics.,0.71,21,Low,41,No,0,['Early Academic Warning Notification']
S0071,1,0.17,100.0,-29.91,1.12,0.38,0.18,44.35,Course workload is balanced.,0.9,28,Low,29,Yes,0,"['Early Academic Warning Notification', 'Learning Engagement Monitoring']"
S0072,4,0.29,83.95,-6.17,3.35,0.49,0.15,45.93,Assignments are manageable.,0.2,2,Low,12,No,0,['Regular Monitoring — No Immediate Intervention']
S0073,10,0.14,77.0,-12.78,2.38,0.0,0.1,5.0,Course workload is balanced.,0.62,1,Low,17,No,0,['Regular Monitoring — No Immediate Intervention']
S0074,6,0.45,56.87,-20.06,2.6,0.61,0.53,51.51,Routine semester.,0.18,61,Medium,58,No,1,"['Schedule Faculty Counseling Session', 'Early Academic Warning Notification', 'Academic Mentor Follow-up']"
S0075,4,0.3,46.14,-25.76,1.7,0.59,0.12,8.59,I am managing studies well.,0.56,46,Medium,36,Yes,1,"['Schedule Faculty Counseling Session', 'Early Academic Warning Notification']"
S0076,5,0.14,48.14,8.15,3.32,0.72,0.24,31.41,Too much academic pressure.,-0.64,62,Medium,62,Yes,1,"['Schedule Faculty Counseling Session', 'Academic Mentor Follow-up', 'Mental Wellness Counseling Recommended']"
S0077,6,0.21,94.94,-26.26,0.1,0.21,0.43,24.36,Assignments are manageable.,0.03,23,Low,28,No,0,['Early Academic Warning Notification']
S0078,3,0.02,100.0,-12.67,6.87,0.13,0.08,39.96,I feel overwhelmed.,-0.58,37,Medium,22,No,1,"['Provide Assignment Deadline Extension Support', 'Mental Wellness Counseling Recommended']"
S0079,4,0.0,91.38,-26.29,6.89,0.0,0.16,24.6,Faculty support is helpful.,0.88,39,Medium,41,No,1,"['Early Academic Warning Notification', 'Provide Assignment Deadline Extension Support']"
S0080,9,0.0,65.9,-11.89,1.83,0.0,0.37,21.92,Feeling stressed and tired.,-0.79,24,Low,34,No,0,['Mental Wellness Counseling Recommended']
S0081,6,0.35,81.5,-8.82,5.68,0.36,0.18,51.65,Routine semester.,-0.19,23,Low,12,No,0,['Provide Assignment Deadline Extension Support']
S0082,4,0.0,57.93,-9.97,4.46,0.55,0.26,38.02,Assignments are manageable.,0.15,27,Low,29,No,0,['Schedule Faculty Counseling Session']
S0083,4,0.28,59.27,8.78,5.94,0.63,0.16,34.0,Course workload is balanced.,0.5,55,Medium,29,No,1,"['Schedule Faculty Counseling Session', 'Provide Assignment Deadline Extension Support', 'Academic Mentor Follow-up']"
S0084,2,0.22,81.13,8.29,3.59,0.0,0.25,37.12,Routine semester.,-0.11,0,Low,15,No,0,['Regular Monitoring — No Immediate Intervention']
S0085,3,0.5,82.97,9.18,0.99,0.13,0.26,33.95,I feel overwhelmed.,-0.96,30,Low,31,No,0,['Mental Wellness Counseling Recommended']
S0086,6,0.2,77.43,-30.27,4.97,0.0,0.04,55.24,Routine semester.,-0.03,28,Low,24,No,0,['Early Academic Warning Notification']
